title,publication_date,capture_time,language,domain,url,original_capture_url,archive_playback_url,article_url
"Biden mourns the loss of ""18 precious souls"" in Maine",2023-11-03,2023-11-04T03:33:52Z,en,cbsnews.com,https://www.cbsnews.com/newyork/live-updates/joe-biden-speaks-maine-shooting-victims-watch-live-stream-today-2023-11-03/,https://web.archive.org/web/20231104033352id_/https://www.cbsnews.com/newyork/live-updates/joe-biden-speaks-maine-shooting-victims-watch-live-stream-today-2023-11-03/,https://web.archive.org/web/20231104033352/https://www.cbsnews.com/newyork/live-updates/joe-biden-speaks-maine-shooting-victims-watch-live-stream-today-2023-11-03/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGNic25ld3MpL25ld3lvcmsvbGl2ZS11cGRhdGVzL2pvZS1iaWRlbi1zcGVha3MtbWFpbmUtc2hvb3RpbmctdmljdGltcy13YXRjaC1saXZlLXN0cmVhbS10b2RheS0yMDIzLTExLTAz
Biden Mourns With Lewiston After Mass Shooting: ‘You’re Not Alone’,2023-11-03,2023-11-04T04:40:34Z,en,nytimes.com,https://www.nytimes.com/2023/11/03/us/politics/biden-lewiston-maine-shooting.html,https://web.archive.org/web/20231104044034id_/https://www.nytimes.com/2023/11/03/us/politics/biden-lewiston-maine-shooting.html,https://web.archive.org/web/20231104044034/https://www.nytimes.com/2023/11/03/us/politics/biden-lewiston-maine-shooting.html,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLG55dGltZXMpLzIwMjMvMTEvMDMvdXMvcG9saXRpY3MvYmlkZW4tbGV3aXN0b24tbWFpbmUtc2hvb3RpbmcuaHRtbA~~
"Illinois trooper making ‘miracle’ recovery after being shot in routine traffic stop, mom says",2023-11-03,2023-11-04T02:30:48Z,en,foxnews.com,https://www.foxnews.com/media/illinois-trooper-making-miracle-recovery-being-shot-routine-traffic-stop-mom-says,https://web.archive.org/web/20231104023048id_/https://www.foxnews.com/media/illinois-trooper-making-miracle-recovery-being-shot-routine-traffic-stop-mom-says,https://web.archive.org/web/20231104023048/https://www.foxnews.com/media/illinois-trooper-making-miracle-recovery-being-shot-routine-traffic-stop-mom-says,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGZveG5ld3MpL21lZGlhL2lsbGlub2lzLXRyb29wZXItbWFraW5nLW1pcmFjbGUtcmVjb3ZlcnktYmVpbmctc2hvdC1yb3V0aW5lLXRyYWZmaWMtc3RvcC1tb20tc2F5cw~~
Florida man hired hitmen to kill 17-year-old who accused him of sexual assault: police,2023-11-03,2023-11-04T04:06:28Z,en,nypost.com,https://nypost.com/2023/11/03/news/florida-man-hired-hitmen-to-kill-17-year-old-who-accused-him-of-sexual-assault-police/,https://web.archive.org/web/20231104040628id_/https://nypost.com/2023/11/03/news/florida-man-hired-hitmen-to-kill-17-year-old-who-accused-him-of-sexual-assault-police/,https://web.archive.org/web/20231104040628/https://nypost.com/2023/11/03/news/florida-man-hired-hitmen-to-kill-17-year-old-who-accused-him-of-sexual-assault-police/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLG55cG9zdCkvMjAyMy8xMS8wMy9uZXdzL2Zsb3JpZGEtbWFuLWhpcmVkLWhpdG1lbi10by1raWxsLTE3LXllYXItb2xkLXdoby1hY2N1c2VkLWhpbS1vZi1zZXh1YWwtYXNzYXVsdC1wb2xpY2U~
Murder Victim’s Daughter Helps Clear Brooklyn Man Convicted in Killing,2023-11-03,2023-11-04T03:38:55Z,en,nytimes.com,https://www.nytimes.com/2023/11/03/nyregion/brooklyn-man-exonerated.html,https://web.archive.org/web/20231104033855id_/https://www.nytimes.com/2023/11/03/nyregion/brooklyn-man-exonerated.html,https://web.archive.org/web/20231104033855/https://www.nytimes.com/2023/11/03/nyregion/brooklyn-man-exonerated.html,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLG55dGltZXMpLzIwMjMvMTEvMDMvbnlyZWdpb24vYnJvb2tseW4tbWFuLWV4b25lcmF0ZWQuaHRtbA~~
Judge rules Virginia teacher shot by 6-year-old student can proceed with $40M lawsuit,2023-11-03,2023-11-04T03:35:52Z,en,nypost.com,https://nypost.com/2023/11/03/news/virginia-teacher-shot-by-6-year-old-can-proceed-with-40-million-lawsuit-judge-rules/,https://web.archive.org/web/20231104033552id_/https://nypost.com/2023/11/03/news/virginia-teacher-shot-by-6-year-old-can-proceed-with-40-million-lawsuit-judge-rules/,https://web.archive.org/web/20231104033552/https://nypost.com/2023/11/03/news/virginia-teacher-shot-by-6-year-old-can-proceed-with-40-million-lawsuit-judge-rules/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLG55cG9zdCkvMjAyMy8xMS8wMy9uZXdzL3ZpcmdpbmlhLXRlYWNoZXItc2hvdC1ieS02LXllYXItb2xkLWNhbi1wcm9jZWVkLXdpdGgtNDAtbWlsbGlvbi1sYXdzdWl0LWp1ZGdlLXJ1bGVz
MI man receives prison sentence for killing parents and burying their bodies,2023-11-03,2023-11-04T03:20:48Z,en,foxnews.com,https://www.foxnews.com/us/mi-man-receives-prison-sentence-killing-parents-burying-bodies,https://web.archive.org/web/20231104032048id_/https://www.foxnews.com/us/mi-man-receives-prison-sentence-killing-parents-burying-bodies,https://web.archive.org/web/20231104032048/https://www.foxnews.com/us/mi-man-receives-prison-sentence-killing-parents-burying-bodies,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGZveG5ld3MpL3VzL21pLW1hbi1yZWNlaXZlcy1wcmlzb24tc2VudGVuY2Uta2lsbGluZy1wYXJlbnRzLWJ1cnlpbmctYm9kaWVz
TX sheriff’s office probed by FBI over corruption allegations,2023-11-03,2023-11-04T03:21:57Z,en,foxnews.com,https://www.foxnews.com/us/tx-sheriffs-office-probed-fbi-corruption-allegations,https://web.archive.org/web/20231104032157id_/https://www.foxnews.com/us/tx-sheriffs-office-probed-fbi-corruption-allegations,https://web.archive.org/web/20231104032157/https://www.foxnews.com/us/tx-sheriffs-office-probed-fbi-corruption-allegations,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGZveG5ld3MpL3VzL3R4LXNoZXJpZmZzLW9mZmljZS1wcm9iZWQtZmJpLWNvcnJ1cHRpb24tYWxsZWdhdGlvbnM~
Father detained in fatal shooting of son inside SW Miami-Dade home,2023-11-03,2023-11-04T02:36:59Z,en,cbsnews.com,https://www.cbsnews.com/miami/news/police-respond-to-reported-shooting-inside-sw-miami-dade-home/,https://web.archive.org/web/20231104023659id_/https://www.cbsnews.com/miami/news/police-respond-to-reported-shooting-inside-sw-miami-dade-home/,https://web.archive.org/web/20231104023659/https://www.cbsnews.com/miami/news/police-respond-to-reported-shooting-inside-sw-miami-dade-home/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGNic25ld3MpL21pYW1pL25ld3MvcG9saWNlLXJlc3BvbmQtdG8tcmVwb3J0ZWQtc2hvb3RpbmctaW5zaWRlLXN3LW1pYW1pLWRhZGUtaG9tZQ~~
"Two teens charged in carjacking, murder of elderly man on Chicago's South Side",2023-11-03,2023-11-04T02:33:16Z,en,cbsnews.com,https://www.cbsnews.com/chicago/news/teens-charged-murder-carjacking-elderly-man-charles-hobson-sr/,https://web.archive.org/web/20231104023316id_/https://www.cbsnews.com/chicago/news/teens-charged-murder-carjacking-elderly-man-charles-hobson-sr/,https://web.archive.org/web/20231104023316/https://www.cbsnews.com/chicago/news/teens-charged-murder-carjacking-elderly-man-charles-hobson-sr/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGNic25ld3MpL2NoaWNhZ28vbmV3cy90ZWVucy1jaGFyZ2VkLW11cmRlci1jYXJqYWNraW5nLWVsZGVybHktbWFuLWNoYXJsZXMtaG9ic29uLXNy
